"","V1"
"1",0
"2",695677.611098555
"3",-606803.517785406
"4",-1740010.73406085
"5",-1519317.00829117
"6",5563062.98074746
"7",6230885.56465913
"8",5374412.77535255
"9",6291825.37777193
"10",6711536.27712513
"11",4e+05
"12",3550371.45789966
"13",6268546.2019323
"14",10408393.3241224
"15",7513711.57013882
"16",12127467.8284247
"17",8910229.43711137
"18",9978464.83191512
"19",9862820.69162398
"20",9479854.99809556
"21",2700000
"22",13310026.5789159
"23",15922548.5163607
"24",15479756.2898553
"25",15677457.4786038
"26",16841986.258691
"27",15572027.5656028
"28",16759370.5525538
"29",16507782.5698662
"30",19515456.1252451
"31",29700000
"32",17559566.3996334
"33",20997132.1574018
"34",22313922.2236013
"35",19911557.3237411
"36",23339404.051427
"37",20528888.9007904
"38",20411518.2069524
"39",25667578.2091577
"40",23188915.4211703
"41",33730000
"42",26295825.3690844
"43",26711963.6559521
"44",27785172.7319542
"45",27936827.4214781
"46",31620000
"47",26850154.9187778
"48",28949512.4443819
"49",31550000
"50",30487895.8691695
"51",29260000
"52",29260000
"53",29260000
