0.536046836,2015,3/14/2017
0.538177086,2016,3/14/2017
0.540315802,2017,3/14/2017
0.542463017,2018,3/14/2017
0.544618765,2019,3/14/2017
0.54678308,2020,3/14/2017
0.548955996,2021,3/14/2017
0.551137547,2022,3/14/2017
0.553327767,2023,3/14/2017
0.555526692,2024,3/14/2017
0.557734355,2025,3/14/2017
0.559950791,2026,3/14/2017
0.562176036,2027,3/14/2017
0.564410123,2028,3/14/2017
0.566653089,2029,3/14/2017
0.568904969,2030,3/14/2017
0.571165797,2031,3/14/2017
0.57343561,2032,3/14/2017
0.575714443,2033,3/14/2017
0.578002332,2034,3/14/2017
0.580299313,2035,3/14/2017
0.582605423,2036,3/14/2017
0.584920697,2037,3/14/2017
0.587245172,2038,3/14/2017
0.589578884,2039,3/14/2017
0.59192187,2040,3/14/2017
