RIN Year,Fuel (D Code),Assignment,Total Generated,Total Retired,Total Locked,Total Available
2017,Cellulosic Biofuel (D3),Assigned,0,0,0,0
2017,Cellulosic Biofuel (D3),Separated,0,0,0,0
2017,Biomass-Based Diesel (D4),Assigned,0,0,0,0
2017,Biomass-Based Diesel (D4),Separated,0,0,0,0
2017,Advanced Biofuel (D5),Assigned,0,0,0,0
2017,Advanced Biofuel (D5),Separated,0,0,0,0
2017,Renewable Fuel (D6),Assigned,0,0,0,0
2017,Renewable Fuel (D6),Separated,0,0,0,0
2017,Cellulosic Diesel (D7),Assigned,0,0,0,0
2017,Cellulosic Diesel (D7),Separated,0,0,0,0
2016,Cellulosic Biofuel (D3),Assigned,144659361,938485,45739,360932
2016,Cellulosic Biofuel (D3),Separated,0,1044145,2346036,139924024
2016,Biomass-Based Diesel (D4),Assigned,3092065301,7682831,6317542,246817911
2016,Biomass-Based Diesel (D4),Separated,0,179826441,71323174,2580097402
2016,Advanced Biofuel (D5),Assigned,85075033,102005,0,3648574
2016,Advanced Biofuel (D5),Separated,0,0,7919,81316535
2016,Renewable Fuel (D6),Assigned,12607040779,113946064,909532,747766740
2016,Renewable Fuel (D6),Separated,0,341373926,801998822,10601045695
2016,Cellulosic Diesel (D7),Assigned,456975,12758,0,0
2016,Cellulosic Diesel (D7),Separated,0,216793,0,227424
2015,Cellulosic Biofuel (D3),Assigned,142040241,1371351,35948,1064062
2015,Cellulosic Biofuel (D3),Separated,0,8420997,25895729,105252154
2015,Biomass-Based Diesel (D4),Assigned,2795798365,29542231,24819,3216396
2015,Biomass-Based Diesel (D4),Separated,0,349404024,74619605,2338991290
2015,Advanced Biofuel (D5),Assigned,147091443,27297,0,470144
2015,Advanced Biofuel (D5),Separated,0,5864778,1578387,139150837
2015,Renewable Fuel (D6),Assigned,14830621602,198269542,891040,28217301
2015,Renewable Fuel (D6),Separated,0,1485831724,723858110,12393553885
2015,Cellulosic Diesel (D7),Assigned,275315,10157,0,0
2015,Cellulosic Diesel (D7),Separated,0,17373,0,247785
2014,Cellulosic Biofuel (D3),Assigned,33360560,1173,0,27943
2014,Cellulosic Biofuel (D3),Separated,0,22900797,385659,10044988
2014,Biomass-Based Diesel (D4),Assigned,2709972461,87650801,11263,5493461
2014,Biomass-Based Diesel (D4),Separated,0,2236571793,26493667,353751476
2014,Advanced Biofuel (D5),Assigned,143540533,92250,0,27447
2014,Advanced Biofuel (D5),Separated,0,89857547,2537311,51025978
2014,Renewable Fuel (D6),Assigned,14354023056,279049327,3345020,1980071
2014,Renewable Fuel (D6),Separated,0,12809348150,505582,1259794906
2014,Cellulosic Diesel (D7),Assigned,59305,4997,0,0
2014,Cellulosic Diesel (D7),Separated,0,45449,0,8859
2013,Cellulosic Biofuel (D3),Assigned,422740,0,0,0
2013,Cellulosic Biofuel (D3),Separated,0,414727,0,8013
2013,Biomass-Based Diesel (D4),Assigned,2740474431,80310387,27415,594808
2013,Biomass-Based Diesel (D4),Separated,0,2657880653,50021,1611147
2013,Advanced Biofuel (D5),Assigned,557824688,2331140,0,34461
2013,Advanced Biofuel (D5),Separated,0,555208718,224280,26089
2013,Renewable Fuel (D6),Assigned,13350511585,103713251,22445,3079921
2013,Renewable Fuel (D6),Separated,0,13242476564,30497,1188907
2013,Cellulosic Diesel (D7),Assigned,395777,0,0,0
2013,Cellulosic Diesel (D7),Separated,0,392033,0,3744
2012,Cellulosic Biofuel (D3),Assigned,20069,0,0,20069
2012,Cellulosic Biofuel (D3),Separated,0,0,0,0
2012,Biomass-Based Diesel (D4),Assigned,1737333997,44718017,0,1034169
2012,Biomass-Based Diesel (D4),Separated,0,1690101702,0,1480109
2012,Advanced Biofuel (D5),Assigned,627072689,27007251,0,93265
2012,Advanced Biofuel (D5),Separated,0,598657696,0,1314477
2012,Renewable Fuel (D6),Assigned,12987841601,14400830,0,4831833
2012,Renewable Fuel (D6),Separated,0,12961505750,0,7103188
2012,Cellulosic Diesel (D7),Assigned,1741,0,0,0
2012,Cellulosic Diesel (D7),Separated,0,1741,0,0
2011,Cellulosic Biofuel (D3),Assigned,0,0,0,0
2011,Cellulosic Biofuel (D3),Separated,0,0,0,0
2011,Biomass-Based Diesel (D4),Assigned,1691614024,13466161,0,1624053
2011,Biomass-Based Diesel (D4),Separated,0,1655032712,0,21491098
2011,Advanced Biofuel (D5),Assigned,228558018,3600644,0,315725
2011,Advanced Biofuel (D5),Separated,0,222269087,0,2372562
2011,Renewable Fuel (D6),Assigned,13615315697,30837903,0,18200759
2011,Renewable Fuel (D6),Separated,0,13115171023,0,451106012
2011,Cellulosic Diesel (D7),Assigned,0,0,0,0
2011,Cellulosic Diesel (D7),Separated,0,0,0,0
2010,Cellulosic Biofuel (D3),Assigned,0,0,0,0
2010,Cellulosic Biofuel (D3),Separated,0,0,0,0
2010,Biomass-Based Diesel (D4),Assigned,323276448,6534849,0,1073490
2010,Biomass-Based Diesel (D4),Separated,0,313986292,0,1681817
2010,Advanced Biofuel (D5),Assigned,28611632,57876,0,0
2010,Advanced Biofuel (D5),Separated,0,28497323,0,56433
2010,Renewable Fuel (D6),Assigned,6796087849,10244607,0,45991814
2010,Renewable Fuel (D6),Separated,0,6359193794,0,380657634
2010,Cellulosic Diesel (D7),Assigned,0,0,0,0
2010,Cellulosic Diesel (D7),Separated,0,0,0,0
