yearID,monthID,AVG(brent_spot_usd_per_gal)
2010,1,1.8135087718947367
2010,2,1.7560025061578945
2010,3,1.8768426500869568
2010,4,2.019467120142857
2010,5,1.8082261905499997
2010,6,1.7800216450909092
2010,7,1.7995238094285717
2010,8,1.8342748917727272
2010,9,1.8533446711428572
2010,10,1.968208616761905
2010,11,2.03094047615
2010,12,2.1773051948181816
2011,1,2.29817857145
2011,2,2.4694360901578944
2011,3,2.7296066252608697
2011,4,2.934735449666667
2011,5,2.7378344671428576
2011,6,2.710313852818182
2011,7,2.7850833332500002
2011,8,2.624274891772727
2011,9,2.6865192743333335
2011,10,2.6083333332857137
2011,11,2.6429166666999997
2011,12,2.56834523805
2012,1,2.6353809524500003
2012,2,2.84111904765
2012,3,2.9867965366818185
2012,4,2.8433730157777775
2012,5,2.6271315192857148
2012,6,2.265612244857143
2012,7,2.443299319761904
2012,8,2.6989544513043477
2012,9,2.6872305764210522
2012,10,2.6597826086086958
2012,11,2.59534523805
2012,12,2.60699999995
2013,1,2.6895238093809524
2013,2,2.763107769315789
2013,3,2.58271428575
2013,4,2.434480519545455
2013,5,2.441872294318182
2013,6,2.45046428575
2013,7,2.569837662363636
2013,8,2.649534632090909
2013,9,2.6570595238
2013,10,2.5970600413478264
2013,11,2.5623684209473683
2013,12,2.6370634920476195
2014,1,2.5689565826764698
2014,2,2.5928696741578947
2014,3,2.559070294809524
2014,4,2.5656009070476182
2014,5,2.60753968252381
2014,6,2.6617913831904754
2014,7,2.542099567181818
2014,8,2.4192403628571433
2014,9,2.3117006803809526
2014,10,2.0815527950000003
2014,11,1.9013624338333335
2014,12,1.4841666666818178
2015,1,1.1371309524000002
2015,2,1.378872180368421
2015,3,1.3306060604999999
2015,4,1.417244897904762
2015,5,1.5255952380500002
2015,6,1.4637554111363633
2015,7,1.3439935065454542
2015,8,1.1075
2015,9,1.1352494330952385
2015,10,1.1530952379545454
2015,11,1.0563909774736842
2015,12,0.9048917749090909
2016,1,0.7351253133157895
2016,2,0.7662261905
2016,3,0.9097727272727273
2016,4,0.9900793649999999
2016,5,1.1129138322380951
2016,6,1.148744588727273
2016,7,1.0666309524
2016,8,0.9734285711999998
