Years,Global Outputs.global total energy prod by source[CAFO],Global Outputs.global total energy prod by source[POTW],Global Outputs.global total energy prod by config[NoWTE],Global Outputs.global total energy prod by config[CF],Global Outputs.global total energy prod by config[Elec],Global Outputs.global total energy prod by config[CNG],Global Outputs.global total energy prod by config[PNG],Global Outputs.global total energy prod by config[BCFuel],Global Outputs.global total energy prod by config[TCFUEL],Global Outputs.global total energy prod by config[HTL],Global Outputs.global total energy prod by config[CHP],Global Outputs.CA yrly energy prodn for HTL,Global Outputs.ROTUS yrly energy prodn for HTL
2015,4102544.79193,13190460.1795,0,0,159283352.451,17848008.6857,930082.076925,0,0,0,42101889.6506,0,0
2016,4102544.79193,13218289.7773,0,0,160150599.31,17755290.4697,931971.230927,0,0,0,42386316.0389,0,0
2017,4102544.79193,13236124.2378,0,0,160345577.529,17590563.6447,933181.885956,0,0,0,42531588.3764,0,0
2018,4102544.79193,13252390.8337,0,0,159439968.026,17380818.3915,934286.109774,0,0,0,42477223.9408,0,0
2019,4102544.79193,13271793.1589,0,0,161518550.617,20468293.1298,7728053.95778,0,0,0,44755943.4776,0,0
2020,4102544.79193,13286491.8901,0,0,162485849.948,23815449.171,14536476.9042,0,0,0,46392029.1331,0,0
2021,4102544.79193,13305894.2153,0,0,160631827.427,25025542.1526,17212024.8263,0,0,0,47623602.0815,0,0
2022,12059355.7088,19550529.6458,0,0,164038046.954,29819995.3931,28070159.9166,0,0,0,58179054.8161,0,0
2023,17397831.7568,24957363.363,0,0,165869220.539,34521969.6963,36962909.3913,0,0,0,66383253.8882,0,0
2024,20735073.2047,28583365.4052,0,0,163942898.982,36895261.8776,41708517.0189,0,0,0,70667980.6677,0,0
2025,23029954.499,31430647.8902,0,0,160327771.098,38227278.1,44948351.295,0,0,0,73170593.3917,0,0
2026,26078419.8639,33833535.9989,0,0,155567438.589,39550981.9079,46156420.297,0,0,427180.375969,76018197.255,18634.583208,408545.792761
2027,28788490.6784,36318620.0842,0,0,151133062.011,40335127.234,48171698.6289,0,0,1286760.38771,77822802.8069,76582.6189416,1210177.76877
2028,31096952.8174,38702568.5635,0,0,145234400.058,39669190.4334,49209822.5626,0,0,2061503.95827,78574743.4264,201923.274869,1859580.68341
2029,33102849.9305,41364937.6957,0,0,138542745.102,39069635.7513,48878252.9848,0,0,3580381.69588,78997468.9773,337566.171533,3242815.52435
2030,35944019.9984,44613408.2426,0,0,132140474.823,37735067.4422,47817618.6659,0,0,7912402.37376,78224787.8258,1248233.07927,6664169.29448
2031,39686012.0881,47483780.687,0,0,125109263.214,36455261.4805,47154989.3551,0,0,13842907.1921,77220696.0442,2472384.01952,11370523.1725
2032,42919953.348,50377262.1858,0,0,117840874.424,34825583.8639,45674328.832,0,0,19472397.9111,75868928.9218,3800100.19853,15672297.7126
2033,45805014.3039,52953669.0675,0,0,111081275.048,33255937.3837,43477980.7506,0,0,24464577.2173,74342338.0715,5031337.81638,19433239.4009
2034,48225017.1391,55605373.0235,0,0,104325043.828,31554016.8751,41756840.5844,0,0,29154217.7104,72777270.8212,5788110.45833,23366107.2521
2035,50029034.3218,57849913.5607,0,0,97884210.7457,30051095.0718,39814051.6902,0,0,32822685.2485,71174841.609,6324834.06713,26497851.1814
2036,51586104.8159,59989656.3279,0,0,91519591.6783,28304733.3941,37733157.3517,0,0,36140781.5365,69646503.7977,6892163.44155,29248618.0949
2037,52688631.4396,61447782.9252,0,0,85619086.7223,26825265.262,35754513.1208,0,0,38323657.3477,68233573.4117,7450752.68612,30872904.6616
2038,53693483.509,62902011.326,0,0,80128332.5076,25271787.6339,33880334.7259,0,0,40404960.4082,66899426.7372,7879194.76189,32525765.6463
2039,54370719.9442,63835667.0853,0,0,74997518.8815,23895686.3849,32091249.7737,0,0,41638075.193,65607873.5519,8062586.86316,33575488.3298
2040,54830322.7596,64551116.3711,0,0,70365196.3718,22597129.8086,30325762.7388,0,0,42435349.8844,64445266.5595,8237259.09744,34198090.7869
